Time: 2022-04-23 12:01:52.886804 | Result: Menace Lose
Time: 2022-04-23 12:01:52.887401 | Result: Menace Lose
Time: 2022-04-23 12:01:52.887518 | Result: Menace Lose
Time: 2022-04-23 12:01:52.887615 | Result: Menace Lose
Time: 2022-04-23 12:01:52.887735 | Result: Menace Draw
Time: 2022-04-23 12:01:52.887851 | Result: Menace Draw
Time: 2022-04-23 12:01:52.887969 | Result: Menace Win
Time: 2022-04-23 12:01:52.888092 | Result: Menace Win
Time: 2022-04-23 12:01:52.888213 | Result: Menace Win
Time: 2022-04-23 12:01:52.888337 | Result: Menace Lose
Time: 2022-04-23 12:01:52.888445 | Result: Menace Draw
Time: 2022-04-23 12:01:52.888581 | Result: Menace Lose
Time: 2022-04-23 12:01:52.888731 | Result: Menace Win
Time: 2022-04-23 12:01:52.888847 | Result: Menace Lose
Time: 2022-04-23 12:01:52.888988 | Result: Menace Win
Time: 2022-04-23 12:01:52.889165 | Result: Menace Lose
Time: 2022-04-23 12:01:52.889261 | Result: Menace Lose
Time: 2022-04-23 12:01:52.889379 | Result: Menace Win
Time: 2022-04-23 12:01:52.889477 | Result: Menace Lose
Time: 2022-04-23 12:01:52.889602 | Result: Menace Win
Time: 2022-04-23 12:01:52.889701 | Result: Menace Lose
Time: 2022-04-23 12:01:52.889827 | Result: Menace Draw
Time: 2022-04-23 12:01:52.889927 | Result: Menace Lose
Time: 2022-04-23 12:01:52.890075 | Result: Menace Win
Time: 2022-04-23 12:01:52.890235 | Result: Menace Lose
Time: 2022-04-23 12:01:52.890422 | Result: Menace Win
Time: 2022-04-23 12:01:52.890597 | Result: Menace Win
Time: 2022-04-23 12:01:52.890718 | Result: Menace Lose
Time: 2022-04-23 12:01:52.890884 | Result: Menace Win
Time: 2022-04-23 12:01:52.890982 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891082 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891181 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891356 | Result: Menace Win
Time: 2022-04-23 12:01:52.891447 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891536 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891696 | Result: Menace Win
Time: 2022-04-23 12:01:52.891780 | Result: Menace Lose
Time: 2022-04-23 12:01:52.891934 | Result: Menace Win
Time: 2022-04-23 12:01:52.892042 | Result: Menace Lose
Time: 2022-04-23 12:01:52.892233 | Result: Menace Win
Time: 2022-04-23 12:01:52.892388 | Result: Menace Draw
Time: 2022-04-23 12:01:52.892546 | Result: Menace Draw
Time: 2022-04-23 12:01:52.892636 | Result: Menace Lose
Time: 2022-04-23 12:01:52.892742 | Result: Menace Lose
Time: 2022-04-23 12:01:52.892827 | Result: Menace Lose
Time: 2022-04-23 12:01:52.892951 | Result: Menace Lose
Time: 2022-04-23 12:01:52.893152 | Result: Menace Win
Time: 2022-04-23 12:01:52.893255 | Result: Menace Lose
Time: 2022-04-23 12:01:52.893343 | Result: Menace Lose
Time: 2022-04-23 12:01:52.893411 | Result: Menace Lose
Time: 2022-04-23 12:01:52.893633 | Result: Menace Win
Time: 2022-04-23 12:01:52.893722 | Result: Menace Lose
Time: 2022-04-23 12:01:52.893857 | Result: Menace Lose
Time: 2022-04-23 12:01:52.894090 | Result: Menace Win
Time: 2022-04-23 12:01:52.894327 | Result: Menace Win
Time: 2022-04-23 12:01:52.894520 | Result: Menace Win
Time: 2022-04-23 12:01:52.894606 | Result: Menace Lose
Time: 2022-04-23 12:01:52.894702 | Result: Menace Lose
Time: 2022-04-23 12:01:52.894906 | Result: Menace Win
Time: 2022-04-23 12:01:52.895006 | Result: Menace Lose
Time: 2022-04-23 12:01:52.895212 | Result: Menace Win
Time: 2022-04-23 12:01:52.895442 | Result: Menace Win
Time: 2022-04-23 12:01:52.895561 | Result: Menace Lose
Time: 2022-04-23 12:01:52.895769 | Result: Menace Win
Time: 2022-04-23 12:01:52.895979 | Result: Menace Win
Time: 2022-04-23 12:01:52.896184 | Result: Menace Win
Time: 2022-04-23 12:01:52.896387 | Result: Menace Win
Time: 2022-04-23 12:01:52.896464 | Result: Menace Lose
Time: 2022-04-23 12:01:52.896664 | Result: Menace Win
Time: 2022-04-23 12:01:52.896748 | Result: Menace Lose
Time: 2022-04-23 12:01:52.896971 | Result: Menace Win
Time: 2022-04-23 12:01:52.897044 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897125 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897187 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897272 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897356 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897534 | Result: Menace Draw
Time: 2022-04-23 12:01:52.897605 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897760 | Result: Menace Draw
Time: 2022-04-23 12:01:52.897847 | Result: Menace Lose
Time: 2022-04-23 12:01:52.897909 | Result: Menace Lose
Time: 2022-04-23 12:01:52.898084 | Result: Menace Draw
Time: 2022-04-23 12:01:52.898172 | Result: Menace Lose
Time: 2022-04-23 12:01:52.898354 | Result: Menace Draw
Time: 2022-04-23 12:01:52.898436 | Result: Menace Lose
Time: 2022-04-23 12:01:52.898678 | Result: Menace Win
Time: 2022-04-23 12:01:52.898936 | Result: Menace Win
Time: 2022-04-23 12:01:52.899036 | Result: Menace Lose
Time: 2022-04-23 12:01:52.899206 | Result: Menace Draw
Time: 2022-04-23 12:01:52.899296 | Result: Menace Lose
Time: 2022-04-23 12:01:52.899551 | Result: Menace Win
Time: 2022-04-23 12:01:52.899622 | Result: Menace Lose
Time: 2022-04-23 12:01:52.899864 | Result: Menace Win
Time: 2022-04-23 12:01:52.899946 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900017 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900298 | Result: Menace Win
Time: 2022-04-23 12:01:52.900370 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900443 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900512 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900598 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900668 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900775 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900850 | Result: Menace Lose
Time: 2022-04-23 12:01:52.900941 | Result: Menace Lose
Time: 2022-04-23 12:01:52.901130 | Result: Menace Draw
Time: 2022-04-23 12:01:52.901418 | Result: Menace Win
Time: 2022-04-23 12:01:52.901704 | Result: Menace Win
Time: 2022-04-23 12:01:52.901914 | Result: Menace Draw
Time: 2022-04-23 12:01:52.901983 | Result: Menace Lose
Time: 2022-04-23 12:01:52.902045 | Result: Menace Lose
Time: 2022-04-23 12:01:52.902345 | Result: Menace Win
Time: 2022-04-23 12:01:52.902417 | Result: Menace Lose
Time: 2022-04-23 12:01:52.902489 | Result: Menace Lose
Time: 2022-04-23 12:01:52.902775 | Result: Menace Win
Time: 2022-04-23 12:01:52.902862 | Result: Menace Lose
Time: 2022-04-23 12:01:52.902940 | Result: Menace Lose
Time: 2022-04-23 12:01:52.903017 | Result: Menace Lose
Time: 2022-04-23 12:01:52.903093 | Result: Menace Lose
Time: 2022-04-23 12:01:52.903392 | Result: Menace Win
Time: 2022-04-23 12:01:52.903477 | Result: Menace Lose
Time: 2022-04-23 12:01:52.903779 | Result: Menace Win
Time: 2022-04-23 12:01:52.903873 | Result: Menace Lose
Time: 2022-04-23 12:01:52.903940 | Result: Menace Lose
Time: 2022-04-23 12:01:52.904016 | Result: Menace Lose
Time: 2022-04-23 12:01:52.904304 | Result: Menace Win
Time: 2022-04-23 12:01:52.904594 | Result: Menace Win
Time: 2022-04-23 12:01:52.904669 | Result: Menace Lose
Time: 2022-04-23 12:01:52.904738 | Result: Menace Lose
Time: 2022-04-23 12:01:52.904807 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905083 | Result: Menace Win
Time: 2022-04-23 12:01:52.905145 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905214 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905292 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905375 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905677 | Result: Menace Win
Time: 2022-04-23 12:01:52.905746 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905809 | Result: Menace Lose
Time: 2022-04-23 12:01:52.905880 | Result: Menace Lose
Time: 2022-04-23 12:01:52.906175 | Result: Menace Win
Time: 2022-04-23 12:01:52.906397 | Result: Menace Draw
Time: 2022-04-23 12:01:52.906469 | Result: Menace Lose
Time: 2022-04-23 12:01:52.906537 | Result: Menace Lose
Time: 2022-04-23 12:01:52.906838 | Result: Menace Win
Time: 2022-04-23 12:01:52.907156 | Result: Menace Win
Time: 2022-04-23 12:01:52.907464 | Result: Menace Win
Time: 2022-04-23 12:01:52.907536 | Result: Menace Lose
Time: 2022-04-23 12:01:52.907610 | Result: Menace Lose
Time: 2022-04-23 12:01:52.907839 | Result: Menace Draw
Time: 2022-04-23 12:01:52.908166 | Result: Menace Win
Time: 2022-04-23 12:01:52.908490 | Result: Menace Win
Time: 2022-04-23 12:01:52.908822 | Result: Menace Win
Time: 2022-04-23 12:01:52.908885 | Result: Menace Lose
Time: 2022-04-23 12:01:52.909222 | Result: Menace Win
Time: 2022-04-23 12:01:52.909295 | Result: Menace Lose
Time: 2022-04-23 12:01:52.909617 | Result: Menace Win
Time: 2022-04-23 12:01:52.909686 | Result: Menace Lose
Time: 2022-04-23 12:01:52.909754 | Result: Menace Lose
Time: 2022-04-23 12:01:52.910634 | Result: Menace Win
Time: 2022-04-23 12:01:52.910704 | Result: Menace Lose
Time: 2022-04-23 12:01:52.910772 | Result: Menace Lose
Time: 2022-04-23 12:01:52.910841 | Result: Menace Lose
Time: 2022-04-23 12:01:52.911189 | Result: Menace Win
Time: 2022-04-23 12:01:52.911524 | Result: Menace Win
Time: 2022-04-23 12:01:52.911597 | Result: Menace Lose
Time: 2022-04-23 12:01:52.911665 | Result: Menace Lose
Time: 2022-04-23 12:01:52.911729 | Result: Menace Lose
Time: 2022-04-23 12:01:52.911972 | Result: Menace Draw
Time: 2022-04-23 12:01:52.912107 | Result: Menace Lose
Time: 2022-04-23 12:01:52.912181 | Result: Menace Lose
Time: 2022-04-23 12:01:52.912253 | Result: Menace Lose
Time: 2022-04-23 12:01:52.912339 | Result: Menace Lose
Time: 2022-04-23 12:01:52.912663 | Result: Menace Win
Time: 2022-04-23 12:01:52.912738 | Result: Menace Lose
Time: 2022-04-23 12:01:52.912809 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913071 | Result: Menace Draw
Time: 2022-04-23 12:01:52.913157 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913243 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913318 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913665 | Result: Menace Win
Time: 2022-04-23 12:01:52.913748 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913826 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913917 | Result: Menace Lose
Time: 2022-04-23 12:01:52.913995 | Result: Menace Lose
Time: 2022-04-23 12:01:52.914062 | Result: Menace Lose
Time: 2022-04-23 12:01:52.914433 | Result: Menace Win
Time: 2022-04-23 12:01:52.914508 | Result: Menace Lose
Time: 2022-04-23 12:01:52.914756 | Result: Menace Draw
Time: 2022-04-23 12:01:52.915120 | Result: Menace Win
Time: 2022-04-23 12:01:52.915484 | Result: Menace Win
Time: 2022-04-23 12:01:52.915861 | Result: Menace Win
Time: 2022-04-23 12:01:52.915931 | Result: Menace Lose
Time: 2022-04-23 12:01:52.916178 | Result: Menace Draw
Time: 2022-04-23 12:01:52.916548 | Result: Menace Win
Time: 2022-04-23 12:01:52.916943 | Result: Menace Win
Time: 2022-04-23 12:01:52.917016 | Result: Menace Lose
Time: 2022-04-23 12:01:52.917377 | Result: Menace Win
Time: 2022-04-23 12:01:52.917759 | Result: Menace Win
Time: 2022-04-23 12:01:52.918128 | Result: Menace Win
Time: 2022-04-23 12:01:52.918483 | Result: Menace Win
Time: 2022-04-23 12:01:52.918553 | Result: Menace Lose
Time: 2022-04-23 12:01:52.918796 | Result: Menace Draw
Time: 2022-04-23 12:01:52.919151 | Result: Menace Win
Time: 2022-04-23 12:01:52.919222 | Result: Menace Lose
Time: 2022-04-23 12:01:52.919610 | Result: Menace Win
Time: 2022-04-23 12:01:52.919678 | Result: Menace Lose
Time: 2022-04-23 12:01:52.919737 | Result: Menace Lose
Time: 2022-04-23 12:01:52.919793 | Result: Menace Lose
Time: 2022-04-23 12:01:52.920144 | Result: Menace Win
Time: 2022-04-23 12:01:52.920396 | Result: Menace Draw
Time: 2022-04-23 12:01:52.920759 | Result: Menace Win
Time: 2022-04-23 12:01:52.920831 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921193 | Result: Menace Win
Time: 2022-04-23 12:01:52.921259 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921352 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921412 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921481 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921595 | Result: Menace Lose
Time: 2022-04-23 12:01:52.921875 | Result: Menace Draw
Time: 2022-04-23 12:01:52.922263 | Result: Menace Win
Time: 2022-04-23 12:01:52.922313 | Result: Menace Lose
Time: 2022-04-23 12:01:52.922381 | Result: Menace Lose
Time: 2022-04-23 12:01:52.922651 | Result: Menace Draw
Time: 2022-04-23 12:01:52.922722 | Result: Menace Lose
Time: 2022-04-23 12:01:52.923114 | Result: Menace Win
Time: 2022-04-23 12:01:52.923538 | Result: Menace Win
Time: 2022-04-23 12:01:52.923974 | Result: Menace Win
Time: 2022-04-23 12:01:52.924410 | Result: Menace Win
Time: 2022-04-23 12:01:52.924815 | Result: Menace Win
Time: 2022-04-23 12:01:52.924913 | Result: Menace Lose
Time: 2022-04-23 12:01:52.925362 | Result: Menace Win
Time: 2022-04-23 12:01:52.925425 | Result: Menace Lose
Time: 2022-04-23 12:01:52.925494 | Result: Menace Lose
Time: 2022-04-23 12:01:52.925553 | Result: Menace Lose
Time: 2022-04-23 12:01:52.925952 | Result: Menace Win
Time: 2022-04-23 12:01:52.926021 | Result: Menace Lose
Time: 2022-04-23 12:01:52.926428 | Result: Menace Win
Time: 2022-04-23 12:01:52.926494 | Result: Menace Lose
Time: 2022-04-23 12:01:52.926894 | Result: Menace Win
Time: 2022-04-23 12:01:52.926955 | Result: Menace Lose
Time: 2022-04-23 12:01:52.927019 | Result: Menace Lose
Time: 2022-04-23 12:01:52.927429 | Result: Menace Win
Time: 2022-04-23 12:01:52.927494 | Result: Menace Lose
Time: 2022-04-23 12:01:52.927908 | Result: Menace Win
Time: 2022-04-23 12:01:52.927969 | Result: Menace Lose
Time: 2022-04-23 12:01:52.928369 | Result: Menace Win
Time: 2022-04-23 12:01:52.928441 | Result: Menace Lose
Time: 2022-04-23 12:01:52.928501 | Result: Menace Lose
Time: 2022-04-23 12:01:52.928925 | Result: Menace Win
Time: 2022-04-23 12:01:52.929334 | Result: Menace Win
Time: 2022-04-23 12:01:52.929619 | Result: Menace Draw
Time: 2022-04-23 12:01:52.929688 | Result: Menace Lose
Time: 2022-04-23 12:01:52.929748 | Result: Menace Lose
Time: 2022-04-23 12:01:52.929815 | Result: Menace Lose
Time: 2022-04-23 12:01:52.929864 | Result: Menace Lose
Time: 2022-04-23 12:01:52.930131 | Result: Menace Draw
Time: 2022-04-23 12:01:52.930204 | Result: Menace Lose
Time: 2022-04-23 12:01:52.930271 | Result: Menace Lose
Time: 2022-04-23 12:01:52.930335 | Result: Menace Lose
